onset	duration	trial_type	file
0.0	5.173	ITI	Rien
5.173	0.5	speech	voc27
5.673	4.433999999999999	ITI	Rien
10.107	0.5006802721088436	artificial	nvoc70
10.607680272108842	4.195319727891158	ITI	Rien
14.803	0.5000907029478459	artificial	nvoc69
15.303090702947847	5.3889092970521535	ITI	Rien
20.692	0.5	non_speech	voc70
21.192	4.353999999999999	ITI	Rien
25.546	0.4894104308390023	emotional	64_surprise
26.035410430839	4.604589569160999	ITI	Rien
30.64	0.5	animal	seagull_call
31.14	4.832999999999998	ITI	Rien
35.973	0.5003628117913832	environmental	nvoc42
36.47336281179138	4.672637188208618	ITI	Rien
41.146	0.5003628117913832	environmental	nvoc41
41.646362811791384	4.433637188208614	ITI	Rien
46.08	0.5009523809523809	animal	nvoc18
46.58095238095238	5.0700476190476245	ITI	Rien
51.651	0.5003628117913832	animal	nvoc17
52.15136281179139	4.433637188208614	ITI	Rien
56.585	0.5006802721088436	artificial	nvoc67
57.085680272108846	4.433319727891154	ITI	Rien
61.519	0.5	emotional	64_sadness
62.019	4.434999999999995	ITI	Rien
66.454	0.5	non_speech	voc69
66.954	4.912000000000006	ITI	Rien
71.866	0.5	non_speech	voc68
72.366	4.275000000000006	ITI	Rien
76.641	0.5	speech	voc26
77.141	5.786999999999992	ITI	Rien
82.928	0.5	emotional	64_happiness
83.428	5.390000000000001	ITI	Rien
88.818	0.5	non_speech	voc67
89.318	4.5930000000000035	ITI	Rien
93.911	0.5009070294784579	animal	nvoc16
94.41190702947846	4.43309297052154	ITI	Rien
98.845	0.5008616780045352	artificial	nvoc66
99.34586167800454	5.310138321995472	ITI	Rien
104.656	0.5	emotional	64_fear
105.156	4.353999999999999	ITI	Rien
109.51	0.5043764172335601	emotional	64_disgust
110.01437641723356	4.986623582766439	ITI	Rien
115.001	0.5003628117913832	environmental	nvoc40
115.50136281179138	4.355637188208611	ITI	Rien
119.857	0.500498866213152	artificial	nvoc65
120.35749886621315	4.831501133786841	ITI	Rien
125.189	0.5131065759637188	emotional	64_anger
125.70210657596371	5.057893424036279	ITI	Rien
130.76	0.5	speech	voc25
131.26	4.671999999999997	ITI	Rien
135.932	0.5003628117913832	environmental	nvoc39
136.43236281179136	4.514637188208631	ITI	Rien
140.947	0.5003174603174603	environmental	nvoc38
141.44731746031746	4.354682539682529	ITI	Rien
145.802	0.5006349206349207	non_speech	voc6
146.30263492063492	5.069365079365101	ITI	Rien
151.372	0.5	speech	voc24
151.872	4.99199999999999	ITI	Rien
156.864	0.5008163265306123	artificial	nvoc64
157.36481632653062	4.9911836734693775	ITI	Rien
162.356	0.5	non_speech	voc65
162.856	4.513000000000005	ITI	Rien
167.369	0.5002267573696145	animal	nvoc15
167.8692267573696	4.275773242630396	ITI	Rien
172.145	0.5009523809523809	environmental	nvoc37
172.6459523809524	5.070047619047617	ITI	Rien
177.716	0.5	non_speech	voc64
178.216	4.513999999999982	ITI	Rien
182.73	0.5	speech	voc22
183.23	4.911000000000001	ITI	Rien
188.141	0.5138095238095238	emotional	61_surprise
188.65480952380952	4.421190476190478	ITI	Rien
193.076	0.5	emotional	59_surprise
193.576	5.230000000000018	ITI	Rien
198.806	0.5	speech	voc21
199.306	4.673000000000002	ITI	Rien
203.979	0.5006349206349207	artificial	nvoc63
204.47963492063494	4.752365079365065	ITI	Rien
209.232	0.5006802721088436	environmental	nvoc36
209.73268027210884	4.513319727891166	ITI	Rien
214.246	0.5000907029478459	animal	nvoc14
214.74609070294787	4.5929092970521435	ITI	Rien
219.339	0.5	speech	voc19
219.839	4.4339999999999975	ITI	Rien
224.273	0.5	speech	voc18
224.773	4.515000000000015	ITI	Rien
229.288	0.5	speech	voc17
229.788	4.4339999999999975	ITI	Rien
234.222	0.5006349206349207	artificial	nvoc62
234.72263492063493	4.9903650793650645	ITI	Rien
239.713	0.5	non_speech	voc63
240.213	5.311000000000007	ITI	Rien
245.524	0.5043764172335601	emotional	59_fear
246.02837641723357	4.349623582766425	ITI	Rien
250.378	0.5009523809523809	animal	nvoc13
250.87895238095237	4.433047619047645	ITI	Rien
255.312	0.5	speech	voc16
255.812	4.435000000000002	ITI	Rien
260.247	0.5006349206349207	environmental	nvoc35
260.74763492063494	5.309365079365081	ITI	Rien
266.057	0.5009523809523809	animal	nvoc12
266.5579523809524	4.194047619047613	ITI	Rien
270.752	0.5008616780045352	animal	nvoc11
271.25286167800454	4.831138321995459	ITI	Rien
276.084	0.5008616780045352	animal	nvoc10
276.58486167800453	6.821138321995468	ITI	Rien
283.406	0.5006349206349207	artificial	nvoc61
283.90663492063493	4.434365079365081	ITI	Rien
288.341	0.5017913832199546	emotional	46_surprise
288.84279138321995	4.352208616780031	ITI	Rien
293.195	0.5003628117913832	artificial	nvoc60
293.69536281179137	6.265637188208636	ITI	Rien
299.961	0.5000453514739229	environmental	nvoc34
300.46104535147396	4.433954648526046	ITI	Rien
304.895	0.5006349206349207	animal	nvoc9
305.3956349206349	4.353365079365121	ITI	Rien
309.749	0.5043764172335601	emotional	10_sadness
310.2533764172336	4.510623582766426	ITI	Rien
314.764	0.5003628117913832	animal	nvoc8
315.2643628117914	4.83163718820861	ITI	Rien
320.096	0.5043764172335601	emotional	10_happiness
320.6003764172336	4.270623582766417	ITI	Rien
324.871	0.5	non_speech	voc62
325.371	4.355000000000018	ITI	Rien
329.726	0.5009070294784579	animal	nvoc7
330.22690702947847	4.672092970521544	ITI	Rien
334.899	0.5000907029478459	environmental	nvoc33
335.39909070294783	4.274909297052131	ITI	Rien
