onset	duration	trial_type	file	expected_answer	answer	reaction_time
0.0	2.069	ITI	Rien	0	0	0.0
2.069	0.5071655328798186	betty	214_neutre	0	0	0.0
2.5761655328798185	0.5568344671201815	answer	Rien	-2	1	0.5568344671201815
3.133	8.486	ITI	Rien	0	0	0.0
11.619	0.317687074829932	betty	214_hallo	0	0	0.0
11.936687074829932	1.134312925170068	answer	Rien	-2	2	1.134312925170068
13.071	7.142999999999999	ITI	Rien	0	0	0.0
20.214	0.483061224489796	anne	182_partie	0	0	0.0
20.697061224489794	2.139938775510206	answer	Rien	-1	2	2.139938775510206
22.837	6.370000000000001	ITI	Rien	0	0	0.0
29.207	0.7879138321995465	chloe	233_neutre	0	0	0.0
29.994913832199547	0.6700861678004522	answer	Rien	-3	1	0.6700861678004522
30.665	8.093000000000004	ITI	Rien	0	0	0.0
38.758	0.7290702947845805	anne	182_jeudi	0	0	0.0
39.48707029478458	1.2739297052154228	answer	Rien	-1	2	1.2739297052154228
40.761	7.228999999999999	ITI	Rien	0	0	0.0
47.99	0.8311337868480726	chloe	233_francais	0	0	0.0
48.82113378684807	0.791866213151927	answer	Rien	-3	1	0.791866213151927
49.613	7.847999999999999	ITI	Rien	0	0	0.0
57.461	0.464625850340136	chloe	233_penser	0	0	0.0
57.92562585034013	1.781374149659868	answer	Rien	-3	2	1.781374149659868
59.707	6.827000000000005	ITI	Rien	0	0	0.0
66.534	0.4214739229024944	betty	214_toussez	0	0	0.0
66.9554739229025	3.399526077097505	answer	Rien	-2	1	3.399526077097505
70.355	6.046999999999997	ITI	Rien	0	0	0.0
76.402	0.7627664399092969	anne	182_mardi	0	0	0.0
77.1647664399093	1.1842335600907035	answer	Rien	-1	1	1.1842335600907035
78.349	7.603999999999999	ITI	Rien	0	0	0.0
85.953	0.4	chloe	233_pouvez	0	0	0.0
86.35300000000001	2.4599999999999937	answer	Rien	-3	2	2.4599999999999937
88.813	6.689999999999998	ITI	Rien	0	0	0.0
95.503	0.6878231292517006	anne	182_lundi	0	0	0.0
96.1908231292517	1.102176870748309	answer	Rien	-1	1	1.102176870748309
97.293	8.794999999999987	ITI	Rien	0	0	0.0
106.088	0.42	betty	214_partie	0	0	0.0
106.508	1.2250000000000085	answer	Rien	-2	2	1.2250000000000085
107.733	8.143999999999991	ITI	Rien	0	0	0.0
