onset	duration	trial_type	file	expected_answer	answer	reaction_time
0.0	2.069	ITI	Rien	0	0	0.0
2.069	0.6146031746031746	betty	214_francais	0	0	0.0
2.6836031746031743	0.7933968253968255	answer	Rien	-2	1	0.7933968253968255
3.477	7.744	ITI	Rien	0	0	0.0
11.221	0.33918367346938777	betty	214_penser	0	0	0.0
11.560183673469387	1.304816326530613	answer	Rien	-2	2	1.304816326530613
12.865	7.668000000000001	ITI	Rien	0	0	0.0
20.533	0.6468934240362811	anne	182_voyelle	0	0	0.0
21.179893424036283	0.8711065759637151	answer	Rien	-1	1	0.8711065759637151
22.051	7.714000000000002	ITI	Rien	0	0	0.0
29.765	0.7329705215419501	chloe	233_quatre	0	0	0.0
30.49797052154195	0.3750294784580497	answer	Rien	-3	3	0.3750294784580497
30.873	8.520999999999997	ITI	Rien	0	0	0.0
39.394	0.4214739229024944	betty	214_toussez	0	0	0.0
39.81547392290249	0.6055260770975082	answer	Rien	-2	2	0.6055260770975082
40.421	8.762999999999998	ITI	Rien	0	0	0.0
49.184	0.7930385487528344	chloe	233_lundi	0	0	0.0
49.97703854875283	1.917961451247173	answer	Rien	-3	2	1.917961451247173
51.895	6.440999999999995	ITI	Rien	0	0	0.0
58.336	0.6907256235827665	anne	182_neutre	0	0	0.0
59.02672562358276	0.5062743764172382	answer	Rien	-1	1	0.5062743764172382
59.533	8.274000000000001	ITI	Rien	0	0	0.0
67.807	0.4803174603174603	anne	182_pouvez	0	0	0.0
68.28731746031747	1.7676825396825393	answer	Rien	-1	2	1.7676825396825393
70.055	7.381999999999991	ITI	Rien	0	0	0.0
77.437	0.5071655328798186	betty	214_neutre	0	0	0.0
77.94416553287982	0.6288344671201713	answer	Rien	-2	1	0.6288344671201713
78.573	7.8570000000000135	ITI	Rien	0	0	0.0
86.43	0.6693197278911565	anne	182_francais	0	0	0.0
87.09931972789116	0.41968027210884884	answer	Rien	-1	1	0.41968027210884884
87.519	8.143	ITI	Rien	0	0	0.0
95.662	0.5902040816326529	chloe	233_toussez	0	0	0.0
96.25220408163266	1.0627959183673426	answer	Rien	-3	3	1.0627959183673426
97.315	9.012	ITI	Rien	0	0	0.0
106.327	0.3878458049886621	betty	214_pouvez	0	0	0.0
106.71484580498866	0.776154195011344	answer	Rien	-2	2	0.776154195011344
107.491	7.989000000000004	ITI	Rien	0	0	0.0
115.48	0.4651927437641724	anne	182_hallo	0	0	0.0
115.94519274376418	0.9818072562358253	answer	Rien	-1	3	0.9818072562358253
116.927	7.5449999999999875	ITI	Rien	0	0	0.0
124.472	0.42	betty	214_partie	0	0	0.0
124.892	1.5649999999999977	answer	Rien	-2	1	1.5649999999999977
126.457	6.6910000000000025	ITI	Rien	0	0	0.0
133.148	0.8311337868480726	chloe	233_francais	0	0	0.0
133.97913378684808	0.28186621315191474	answer	Rien	-3	1	0.28186621315191474
134.261	8.754999999999995	ITI	Rien	0	0	0.0
143.016	0.7627664399092969	anne	182_mardi	0	0	0.0
143.77876643990928	1.416233560090717	answer	Rien	-1	1	1.416233560090717
145.195	9.838999999999999	ITI	Rien	0	0	0.0
155.034	0.7115419501133787	chloe	233_voyelle	0	0	0.0
155.74554195011336	0.44945804988662985	answer	Rien	-3	3	0.44945804988662985
156.195	9.025000000000006	ITI	Rien	0	0	0.0
165.22	0.483061224489796	anne	182_partie	0	0	0.0
165.7030612244898	2.799938775510185	answer	Rien	-1	1	2.799938775510185
168.503	6.984000000000009	ITI	Rien	0	0	0.0
175.487	0.4357142857142857	chloe	233_hallo	0	0	0.0
